Benutzer,Spiel,SpielzeitInStunden,Genre,Tags
Janes,Tabletop Simulator,5.6,"Casual, Indie, RPG, Simulation, Strategy","{'Tabletop': 995, 'Board Game': 856, 'Simulation': 613, 'Multiplayer': 595, 'Sandbox': 478, 'Card Game': 424, 'VR': 373, 'Trading Card Game': 368, 'Physics': 353, 'Moddable': 348, 'Casual': 338, '3D': 337, 'Strategy': 335, 'Wargame': 333, 'Online Co-Op': 332, 'Co-op': 318, 'RPG': 309, 'Funny': 309, 'First-Person': 298, 'Indie': 294}"
Janes,The Forest,5.4,"Action, Adventure, Indie, Simulation","{'Open World Survival Craft': 12208, 'Survival': 11825, 'Open World': 8573, 'Horror': 8416, 'Crafting': 6367, 'Adventure': 5529, 'Building': 5437, 'Survival Horror': 5104, 'First-Person': 4521, 'Action': 3705, 'Exploration': 3571, 'Sandbox': 3287, 'Singleplayer': 2787, 'Atmospheric': 2733, 'Simulation': 2553, 'Gore': 2428, 'Realistic': 2353, 'Indie': 2246, 'Zombies': 1665, 'Early Access': 1612}"
Janes,Atomic Heart,5.1,"Action, Adventure, RPG","{'Horror': 637, 'Sexual Content': 635, 'FPS': 621, 'Puzzle': 597, 'Mystery': 588, 'Robots': 561, 'Singleplayer': 557, 'Action': 531, 'Shooter': 529, 'Sci-fi': 516, 'First-Person': 496, 'Open World': 455, 'Action-Adventure': 450, 'Exploration': 425, 'Alternate History': 421, 'Atmospheric': 408, 'Gore': 405, 'Action RPG': 384, 'Cyberpunk': 384, 'RPG': 350}"
Janes,BattleBit Remastered,5.0,"Action, Massively Multiplayer, Early Access","{'FPS': 627, 'Multiplayer': 596, 'Shooter': 592, 'Military': 520, 'Destruction': 506, 'Massively Multiplayer': 484, 'PvP': 469, 'War': 460, 'Action': 460, 'Tactical': 417, 'First-Person': 412, 'Team-Based': 398, 'Combat': 385, 'Gun Customization': 365, 'Class-Based': 364, 'Character Customization': 353, '3D': 349, 'Voxel': 345, 'Indie': 342, 'Early Access': 339}"
Janes,The Escapists 2,4.5,"Indie, Simulation, Strategy","{'Multiplayer': 561, 'Strategy': 475, 'Pixel Graphics': 429, 'Online Co-Op': 411, 'Co-op': 398, '2D': 314, 'Crafting': 286, 'Simulation': 265, 'Singleplayer': 258, 'Indie': 257, 'Local Co-Op': 247, 'Sandbox': 244, 'Stealth': 227, 'Character Customization': 193, 'Funny': 189, 'Puzzle': 182, 'Split Screen': 174, 'Open World': 159, 'Difficult': 154, 'Action': 153}"
Janes,DiRT Rally,4.2,"Racing, Simulation, Sports","{'Racing': 939, 'Simulation': 601, 'Automobile Sim': 543, 'Driving': 436, 'Multiplayer': 400, 'Realistic': 375, 'Offroad': 374, 'Difficult': 272, 'VR': 265, 'Singleplayer': 264, 'Sports': 219, 'First-Person': 138, 'Action': 94, 'Atmospheric': 90, 'Fast-Paced': 74, 'Co-op': 56, 'TrackIR': 51, '3D Vision': 51, 'Open World': 47, 'Family Friendly': 45}"
Janes,Hitman: Absolution,3.8,Action,"{'Stealth': 1102, 'Action': 785, 'Third Person': 487, 'Assassin': 481, 'Singleplayer': 468, 'Third-Person Shooter': 372, 'Tactical': 324, 'Shooter': 249, 'Replay Value': 229, 'Crime': 215, 'Story Rich': 203, 'Multiplayer': 197, 'Cinematic': 185, 'Difficult': 168, 'Atmospheric': 162, 'Adventure': 146, 'Strategy': 134, 'Score Attack': 103, 'Linear': 98, 'Controller': 83}"
Janes,tModLoader,3.7,"Casual, Indie, Simulation, Free to Play","{'Casual': 97, 'Platformer': 70, '3D Platformer': 34, '3D': 33, 'Crafting': 31, 'Singleplayer': 26, 'Indie': 20, 'Simulation': 20, 'Free to Play': 19}"
Janes,Hunt: Showdown,3.4,Action,"{'Open World': 2689, 'Extraction Shooter': 2517, 'Atmospheric': 2439, 'Tactical': 2439, 'Multiplayer': 2387, 'FPS': 2323, 'Perma Death': 2268, 'Shooter': 2211, 'Western': 2210, 'PvP': 2203, 'Horror': 2189, 'Online Co-Op': 2166, 'Survival Horror': 2161, 'Difficult': 2142, 'Co-op': 2130, 'Battle Royale': 2105, 'Team-Based': 2096, 'Action': 2046, 'Gore': 1991, 'Zombies': 1847}"
Janes,The Elder Scrolls V: Skyrim Special Edition,3.3,RPG,"{'Open World': 5393, 'RPG': 4635, 'Adventure': 3361, 'Singleplayer': 3343, 'Fantasy': 3317, 'Character Customization': 2968, 'Moddable': 2397, 'Dragons': 2352, 'Story Rich': 2128, 'Magic': 2072, 'First-Person': 1873, 'Action': 1747, 'Atmospheric': 1687, 'Great Soundtrack': 1606, 'Third Person': 1303, 'Stealth': 1171, 'Classic': 1087, 'Remake': 845, 'Female Protagonist': 622, 'Walking Simulator': 607}"
Janes,Wallpaper Engine,3.0,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","{'Mature': 3392, 'Utilities': 2349, 'Software': 1876, 'Anime': 1858, 'Design & Illustration': 1421, 'Animation & Modeling': 1150, 'NSFW': 855, 'First-Person': 773, 'Indie': 740, 'Memes': 707, 'Cute': 655, 'Action': 604, 'Singleplayer': 557, 'Funny': 548, 'Early Access': 465, 'Photo Editing': 397, 'Sandbox': 357, 'Horror': 272, 'Game Development': 258, 'Gaming': 219}"
Janes,Horizon Zero Dawn™ Complete Edition,2.8,"Action, Adventure, RPG","{'Open World': 1275, 'Adventure': 1042, 'Female Protagonist': 959, 'Singleplayer': 952, 'Story Rich': 812, 'RPG': 806, 'Action': 798, 'Post-apocalyptic': 650, 'Sci-fi': 586, 'Robots': 574, 'Third Person': 557, 'Exploration': 540, 'Beautiful': 517, 'Atmospheric': 419, 'Action RPG': 406, 'Archery': 371, 'Great Soundtrack': 355, 'Hunting': 350, 'Stealth': 241, 'Dinosaurs': 235}"
Janes,Elite Dangerous,2.7,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","{'Space Sim': 1507, 'Space': 1462, 'Open World': 1275, 'Exploration': 1081, 'Sci-fi': 1052, 'Simulation': 954, 'Massively Multiplayer': 938, 'Multiplayer': 773, 'VR': 601, 'First-Person': 577, 'Action': 559, 'Adventure': 545, 'Sandbox': 536, 'Online Co-Op': 472, 'Singleplayer': 451, 'Trading': 443, 'RPG': 406, 'Difficult': 314, 'Strategy': 302, 'TrackIR': 185}"
Janes,LIMBO,2.1,"Action, Adventure, Indie","{'Puzzle-Platformer': 1757, 'Indie': 1274, 'Puzzle': 1100, 'Platformer': 1079, 'Dark': 1015, 'Atmospheric': 947, '2D': 725, 'Adventure': 713, 'Singleplayer': 695, 'Horror': 645, 'Surreal': 333, 'Short': 290, 'Side Scroller': 276, 'Difficult': 248, 'Minimalist': 218, 'Physics': 209, 'Action': 193, 'Cinematic': 150, 'Casual': 146, 'Controller': 104}"
Janes,Takedown: Red Sabre,2.0,"Action, Simulation, Strategy","{'FPS': 201, 'Action': 172, 'Tactical': 154, 'Simulation': 132, 'Strategy': 119, 'Multiplayer': 90, 'Online Co-Op': 84, 'Shooter': 82, 'Co-op': 69, 'First-Person': 55, 'Realistic': 37, 'Early Access': 33, 'Kickstarter': 32, 'Singleplayer': 29, 'Horror': 24, 'Walking Simulator': 24, 'Stealth': 22, 'Difficult': 21, 'Adventure': 15, 'Funny': 13}"
Janes,MotoGP™15,1.78,"Racing, Simulation, Sports","{'Racing': 86, 'Sports': 79, 'Simulation': 77, 'Multiplayer': 23, 'Motorbike': 23, 'Bikes': 16}"
Janes,Loading Screen Simulator,1.3,Simulation,"{'Simulation': 63, 'Puzzle': 37, '2D': 34, 'Funny': 31, 'Singleplayer': 28}"
Janes,World of Guns: Gun Disassembly,1.18,"Action, Casual, Free to Play, Indie, Simulation, Strategy","{'Free to Play': 690, 'Simulation': 597, 'Gun Customization': 399, 'Education': 390, 'Singleplayer': 383, 'Realistic': 378, 'Military': 376, 'Puzzle': 374, 'Indie': 362, 'Historical': 358, 'First-Person': 350, 'America': 350, 'Funny': 333, 'Animation & Modeling': 330, '3D': 329, 'Exploration': 319, 'Logic': 315, '3D Platformer': 313, 'Old School': 306, 'Relaxing': 304}"
Janes,Wargame: European Escalation,1.12,"Indie, Simulation, Strategy","{'Strategy': 175, 'RTS': 112, 'Military': 94, 'Cold War': 86, 'Wargame': 79, 'Realistic': 62, 'Simulation': 61, 'Alternate History': 56, 'Real Time Tactics': 55, 'War': 49, 'Singleplayer': 43, 'Real-Time': 39, 'Action': 39, 'Multiplayer': 38, 'Tactical': 36, 'Indie': 31, 'Tanks': 14, 'Historical': 13, 'Replay Value': 12, 'Co-op': 12}"
Janes,Red Orchestra 2: Heroes of Stalingrad - Single Player,1.07,"Action, Massively Multiplayer, Simulation","{'World War II': 1042, 'Realistic': 1034, 'Multiplayer': 836, 'FPS': 833, 'Wargame': 613, 'Team-Based': 599, 'First-Person': 598, 'Historical': 595, 'War': 579, 'Immersive Sim': 576, 'Action': 573, 'Tactical': 520, 'Shooter': 442, 'Military': 406, 'Immersive': 288, 'Simulation': 280, 'Atmospheric': 275, 'Gore': 235, 'Tanks': 231, 'Singleplayer': 222}"
Janes,Ghostrunner,1.05,Action,"{'Action': 726, 'Cyberpunk': 671, 'Fast-Paced': 659, 'First-Person': 640, 'Difficult': 574, 'Swordplay': 553, 'Singleplayer': 547, 'Hack and Slash': 453, 'Futuristic': 452, 'Violent': 436, 'Sci-fi': 416, 'Great Soundtrack': 355, 'Action-Adventure': 342, 'Combat': 323, 'Adventure': 299, 'Fighting': 280, 'Post-apocalyptic': 276, 'Ninja': 275, 'Strategy': 233, 'Shooter': 231}"
Janes,Half-Life,1.05,Action,"{'FPS': 2418, 'Classic': 1917, 'Singleplayer': 1907, ""1990's"": 1905, 'Multiplayer': 1904, 'Sci-fi': 1903, 'Shooter': 1881, 'Action': 1876, 'First-Person': 1873, 'Aliens': 1862, 'Story Rich': 1855, 'Silent Protagonist': 1849, 'Atmospheric': 1839, 'Moddable': 1811, 'Adventure': 1807, 'Gore': 1806, 'Retro': 1801, 'Action-Adventure': 1794, 'Difficult': 1771, 'PvP': 1750}"
Janes,Microsoft Flight Simulator X: Steam Edition,0.93,Simulation,"{'Flight': 838, 'Simulation': 756, 'Realistic': 410, 'Open World': 372, 'Multiplayer': 372, 'Singleplayer': 279, 'Moddable': 167, 'Adventure': 158, 'First-Person': 156, 'Atmospheric': 144, 'VR': 118, 'Action': 115, 'Difficult': 108, 'Massively Multiplayer': 105, 'Co-op': 80, 'Military': 69, 'Third Person': 68, 'Strategy': 67, 'Local Multiplayer': 63, 'Sandbox': 58}"
Janes,LEGO® Star Wars™: Die Skywalker Saga,0.87,"Action, Adventure","{'LEGO': 716, 'Adventure': 519, 'Co-op': 500, 'Multiplayer': 493, 'Open World': 490, 'Space': 441, 'Action': 413, 'Sci-fi': 389, 'Local Co-Op': 388, 'Singleplayer': 375, 'Funny': 372, 'Family Friendly': 313, 'Third Person': 305, 'Story Rich': 282, 'Epic': 257, 'Great Soundtrack': 250, 'Memes': 220, 'Beautiful': 216, 'Puzzle': 183, 'Nudity': 84}"
Janes,Enclave,0.83,"Action, RPG","{'RPG': 548, 'Action': 186, 'Fantasy': 146, 'Third Person': 136, 'Hack and Slash': 116, 'Adventure': 94, 'Singleplayer': 94, 'Classic': 87, 'Action RPG': 34, 'Magic': 32, 'Female Protagonist': 23, 'Atmospheric': 22, 'Multiplayer': 19, 'First-Person': 18, 'Great Soundtrack': 18, 'Nudity': 18, 'Open World': 16, 'Action-Adventure': 15, 'Dark Fantasy': 15, 'Medieval': 9}"
Janes,Dead Bits,0.68,"Action, Casual, Indie","{'Indie': 239, 'Action': 114, 'Casual': 92, 'FPS': 82, 'Shooter': 75, 'First-Person': 64, 'Great Soundtrack': 49, 'Zombies': 42, 'Singleplayer': 40, 'Voxel': 32, 'Multiplayer': 20, 'Horror': 18, 'Pixel Graphics': 15, 'Difficult': 13, 'Funny': 6}"
Janes,Aimlabs,0.67,"Casual, Indie, Early Access","{'Early Access': 32, 'Indie': 31, 'Casual': 31, 'VR': 15}"
Janes,DOOM Eternal,0.65,Action,"{'FPS': 1530, 'Action': 1527, 'Great Soundtrack': 1425, 'Gore': 1425, 'Fast-Paced': 1327, 'Violent': 1196, 'Demons': 1194, 'Shooter': 1108, 'First-Person': 1052, 'Singleplayer': 974, 'Blood': 942, 'Multiplayer': 804, 'Sci-fi': 661, 'Post-apocalyptic': 614, 'Atmospheric': 609, 'Mature': 605, 'Story Rich': 538, 'Difficult': 507, 'Adventure': 476, 'Horror': 389}"
Janes,Knights and Merchants,0.63,"Simulation, Strategy","{'Strategy': 1535, 'Colony Sim': 168, 'Medieval': 161, 'City Builder': 144, 'RTS': 133, 'Simulation': 120, 'Classic': 117, 'Singleplayer': 71, 'Historical': 63, 'Multiplayer': 56, 'Resource Management': 48, 'Old School': 44, 'Cult Classic': 42, 'Great Soundtrack': 36, 'Management': 32, 'Difficult': 27, '2D': 24, 'Economy': 18, 'Nostalgia': 11, 'Action': 6}"
Janes,LEGO® The Hobbit™,0.57,"Action, Adventure","{'LEGO': 612, 'Adventure': 243, 'Action': 178, 'Local Co-Op': 151, 'Multiplayer': 141, 'Open World': 137, 'Funny': 108, 'Co-op': 106, 'Singleplayer': 101, 'Family Friendly': 100, 'Fantasy': 100, 'Comedy': 88, 'Third Person': 61, 'Atmospheric': 55, 'Split Screen': 48, 'Dwarf': 47, 'Puzzle': 36, 'RPG': 35, 'Controller': 33, 'Strategy': 29}"
Janes,Surgeon Simulator,0.57,"Action, Indie, Simulation","{'Simulation': 1147, 'Funny': 1138, 'Physics': 1134, 'Comedy': 1133, 'Medical Sim': 1126, 'Indie': 1125, 'Dark Humor': 1124, 'Difficult': 1119, 'Puzzle': 1116, 'Intentionally Awkward Controls': 1113, 'VR': 784, 'First-Person': 726, 'Casual': 719, 'Aliens': 718, 'Singleplayer': 712, 'Dark': 711, 'Action': 703, 'Blood': 296, 'Gore': 290, 'Great Soundtrack': 124}"
Janes,PAYDAY 2,0.55,"Action, RPG","{'Co-op': 9794, 'Action': 7551, 'FPS': 7504, 'Heist': 7044, 'Multiplayer': 6266, 'Looter Shooter': 6233, 'Online Co-Op': 6144, 'Stealth': 6122, 'Crime': 5654, 'Shooter': 4812, 'Team-Based': 4324, 'First-Person': 4282, 'Great Soundtrack': 4113, 'Gun Customization': 3696, 'Tactical': 3389, 'PvE': 2760, 'Strategy': 2328, 'Singleplayer': 2168, 'Funny': 1630, 'Simulation': 1577}"
Janes,Vertiginous Golf,0.53,"Indie, Sports","{'Golf': 182, 'Steampunk': 176, 'Mini Golf': 174, 'Multiplayer': 170, 'Singleplayer': 165, '4 Player Local': 159, 'Dystopian ': 155, 'Capitalism': 152, 'Alternate History': 151, 'Beautiful': 149, 'Sports': 147, 'Local Multiplayer': 146, 'Simulation': 139, 'Psychological Horror': 129, 'Physics': 122, 'Controller': 114, 'First-Person': 111, '3D': 108, 'Atmospheric': 100, 'Indie': 88}"
Janes,GEARCRACK Arena,0.5,"Casual, Indie, Early Access",[]
Janes,Rising Storm/Red Orchestra 2 Multiplayer,0.5,"Action, Massively Multiplayer, Simulation","{'World War II': 1042, 'Realistic': 1034, 'Multiplayer': 836, 'FPS': 833, 'Wargame': 613, 'Team-Based': 599, 'First-Person': 598, 'Historical': 595, 'War': 579, 'Immersive Sim': 576, 'Action': 573, 'Tactical': 520, 'Shooter': 442, 'Military': 406, 'Immersive': 288, 'Simulation': 280, 'Atmospheric': 275, 'Gore': 235, 'Tanks': 231, 'Singleplayer': 222}"
Janes,Defy Gravity,0.48,"Action, Adventure, Indie","{'Action': 21, 'Indie': 21, 'Adventure': 20, 'Platformer': 14, '2D': 12}"
Janes,Arma 2: Operation Arrowhead,0.45,"Action, Simulation, Strategy","{'Simulation': 534, 'Military': 379, 'Action': 335, 'Multiplayer': 321, 'Tactical': 295, 'Realistic': 276, 'Strategy': 273, 'Shooter': 246, 'FPS': 235, 'Open World': 226, 'War': 198, 'Moddable': 169, 'Co-op': 152, 'Sandbox': 148, 'Team-Based': 143, 'First-Person': 139, 'Singleplayer': 138, 'Modern': 116, 'Difficult': 111, 'Third Person': 107}"
Janes,Project CARS 2,0.38,Racing,"{'Racing': 394, 'Driving': 238, 'Automobile Sim': 229, 'Simulation': 200, 'VR': 189, 'Multiplayer': 187, 'Realistic': 129, 'Sports': 82, 'Singleplayer': 72, 'Open World': 65, 'Controller': 49, 'Atmospheric': 30, 'Arcade': 28, 'Action': 28, 'Difficult': 25, 'First-Person': 19, 'Co-op': 7, 'Great Soundtrack': 5}"
Janes,Arma 2: DayZ Mod,0.35,"Indie, Strategy","{'Turn-Based Tactics': 263, 'Rogue-lite': 257, 'Mechs': 254, 'Strategy': 249, 'Character Customization': 246, 'Procedural Generation': 238, 'RPG': 237, 'Post-apocalyptic': 235, 'Deckbuilding': 228, 'Replay Value': 224, 'Sci-fi': 217, 'Turn-Based Strategy': 197, 'Turn-Based': 189, 'Rogue-like': 185, 'Turn-Based Combat': 174, 'Isometric': 166, 'Singleplayer': 164, '3D': 160, 'Roguelike Deckbuilder': 158, 'Indie': 152}"
Janes,Warlock - Master of the Arcane,0.35,Strategy,"{'Strategy': 212, 'Turn-Based Strategy': 179, 'Fantasy': 144, 'Turn-Based': 128, '4X': 118, 'Magic': 62, 'Hex Grid': 58, 'Multiplayer': 58, 'Singleplayer': 57, 'RPG': 10}"
Janes,Alan Wake,0.3,"Action, Adventure","{'Action': 1074, 'Horror': 1042, 'Adventure': 899, 'Third Person': 888, 'Story Rich': 861, 'Thriller': 771, 'Atmospheric': 763, 'Singleplayer': 691, 'Psychological Horror': 618, 'Great Soundtrack': 417, 'Mystery': 351, 'Episodic': 310, 'Third-Person Shooter': 302, 'Dark': 291, 'Supernatural': 286, 'Cinematic': 267, 'Narration': 231, 'Survival Horror': 228, 'Shooter': 194, 'Survival': 102}"
Janes,Outlast,0.28,"Action, Adventure, Indie","{'Horror': 3464, 'First-Person': 1455, 'Survival Horror': 1380, 'Atmospheric': 1313, 'Psychological Horror': 1177, 'Gore': 1171, 'Survival': 1058, 'Singleplayer': 1027, 'Dark': 801, 'Adventure': 792, 'Action': 772, 'Indie': 632, 'Stealth': 614, 'Multiplayer': 543, 'Nudity': 499, 'Parkour': 364, 'Difficult': 348, 'Walking Simulator': 216, '3D Vision': 201, 'Sci-fi': 191}"
Janes,Pixel Puzzles: Japan,0.25,"Casual, Indie, Simulation","{'Puzzle': 145, 'Casual': 73, 'Indie': 58, 'Simulation': 45, 'Singleplayer': 17, 'Relaxing': 13, 'Strategy': 12}"
Janes,Gun Rocket,0.23,"Adventure, Casual, Indie","{'Indie': 31, 'Casual': 25, 'Adventure': 24, ""Shoot 'Em Up"": 15, 'Difficult': 12, 'Puzzle': 10, 'Arcade': 9, '2D': 9, 'Shooter': 8, 'Action': 7, 'Space': 7, 'Pixel Graphics': 7, 'Retro': 6, 'Singleplayer': 6, 'Classic': 5, 'Exploration': 5}"
Janes,Morphopolis,0.23,"Adventure, Casual, Indie","{'Puzzle': 125, 'Indie': 79, 'Hidden Object': 79, 'Point & Click': 67, 'Casual': 64, 'Adventure': 54, 'Colorful': 49, 'Short': 45, 'Psychedelic': 35, 'Singleplayer': 33, 'Nature': 29, 'Great Soundtrack': 28, 'Atmospheric': 27, 'Relaxing': 27, '2D': 17, 'Family Friendly': 11, 'Exploration': 9, 'Beautiful': 8, 'Difficult': 6, 'Fantasy': 6}"
Janes,Ampersand,0.22,"Indie, Racing","{'Racing': 91, 'Indie': 38, 'Singleplayer': 13, 'Futuristic': 5}"
Janes,b,0.22,"Casual, Indie, Free to Play","{'Anime': 700, 'Story Rich': 668, 'Free to Play': 610, 'Memes': 609, 'Open World': 602, 'Female Protagonist': 592, 'Shooter': 441, 'Family Friendly': 436, 'Simulation': 422, 'Indie': 388, 'Casual': 365, 'Great Soundtrack': 330, 'Difficult': 330, 'Multiplayer': 310, 'FPS': 300, 'Action': 256, 'Cute': 254, 'Atmospheric': 252, 'Massively Multiplayer': 248, 'Soundtrack': 241}"
Janes,Stellar 2D,0.22,"Action, Casual, Indie","{'Indie': 79, 'Casual': 28, 'Action': 27, '2D': 12, ""Shoot 'Em Up"": 11, 'Space': 7}"
Janes,Out There Somewhere,0.2,"Action, Adventure, Indie","{'Platformer': 126, 'Pixel Graphics': 96, 'Indie': 95, 'Puzzle': 82, 'Adventure': 80, '2D': 75, 'Great Soundtrack': 70, 'Retro': 68, 'Action': 62, 'Sci-fi': 54, 'Singleplayer': 54, 'Puzzle-Platformer': 52, 'Short': 37, 'Difficult': 35, 'Metroidvania': 31, 'Anime': 31, 'Space': 29, 'Shooter': 19, ""Shoot 'Em Up"": 19, 'Arcade': 17}"
Janes,DiRT 4,0.18,"Racing, Simulation, Sports","{'Racing': 287, 'Automobile Sim': 175, 'Simulation': 175, 'Multiplayer': 168, 'Driving': 163, 'Sports': 125, 'Offroad': 125, 'Realistic': 82, 'Singleplayer': 68, 'Arcade': 51, 'Atmospheric': 38, 'Open World': 36, 'Action': 34, 'VR': 19, 'Difficult': 16, 'Online Co-Op': 15, 'Co-op': 15, 'Controller': 14, 'Great Soundtrack': 12, 'Adventure': 9}"
Janes,Commander: Conquest of the Americas Gold,0.17,Strategy,"{'Strategy': 42, 'Naval Combat': 25, 'Naval': 19, 'Pirates': 5}"
Janes,Fork Parker's Holiday Profit Hike,0.17,"Action, Adventure, Free to Play, Indie","{'Free to Play': 347, 'Platformer': 62, 'Indie': 55, 'Action': 47, 'Adventure': 47, 'Pixel Graphics': 46, '2D': 37, 'Difficult': 22, 'Multiplayer': 18, 'Parkour': 13, 'Great Soundtrack': 8, 'Funny': 7}"
Janes,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,0.17,"Action, Indie, Simulation","{'Family Friendly': 410, 'Arcade': 371, '2D': 365, 'Funny': 360, 'Story Rich': 354, 'Controller': 349, 'Action': 346, 'Casual': 345, 'Surreal': 345, 'Simulation': 342, 'Pixel Graphics': 338, 'Realistic': 336, 'Score Attack': 328, 'Comedy': 316, 'Memes': 306, 'Singleplayer': 296, 'Indie': 288, 'Nudity': 274, 'Mystery': 132, 'Puzzle': 132}"
Janes,Arma: Cold War Assault,0.12,"Action, Simulation, Strategy","{'Simulation': 232, 'Action': 185, 'Military': 148, 'Strategy': 135, 'FPS': 123, 'Cold War': 122, 'Classic': 111, 'Tactical': 103, 'Open World': 102, 'Multiplayer': 93, 'Shooter': 81, 'War': 80, 'Realistic': 78, 'First-Person': 67, 'Singleplayer': 61, 'Sandbox': 36, 'Moddable': 35, 'Team-Based': 32, 'Third Person': 29, 'Gore': 26}"
Janes,MXGP - The Official Motocross Videogame,0.1,"Racing, Simulation, Sports","{'Racing': 148, 'Sports': 100, 'Simulation': 91, 'Motocross': 56, 'Offroad': 54, 'Motorbike': 45, 'Multiplayer': 40, 'Bikes': 22, 'Action': 21, 'Realistic': 20, 'Adventure': 18, 'Singleplayer': 10, 'Open World': 7, 'Co-op': 6}"
Janes,Passing Pineview Forest,0.1,"Adventure, Casual, Indie, Early Access","{'Early Access': 326, 'Exploration': 296, 'Story Rich': 290, 'Immersive Sim': 285, 'Nature': 281, 'Sandbox': 275, 'PvE': 265, 'Emotional': 258, 'Survival': 250, 'Cooking': 241, '3D': 231, 'Walking Simulator': 220, 'First-Person': 209, 'Third Person': 197, 'Relaxing': 183, 'Dynamic Narration': 181, 'Casual': 168, 'Open World': 165, 'Realistic': 130, 'Crafting': 111}"
Janes,KnightShift,0.05,"RPG, Strategy","{'RPG': 315, 'Strategy': 67, 'Fantasy': 37, 'RTS': 27, 'Multiplayer': 19, 'Singleplayer': 19, 'Comedy': 10}"
Janes,Arma 2: Operation Arrowhead Beta (Obsolete),0.02,"Action, Simulation, Strategy","{'Simulation': 534, 'Military': 379, 'Action': 335, 'Multiplayer': 321, 'Tactical': 295, 'Realistic': 276, 'Strategy': 273, 'Shooter': 246, 'FPS': 235, 'Open World': 226, 'War': 198, 'Moddable': 169, 'Co-op': 152, 'Sandbox': 148, 'Team-Based': 143, 'First-Person': 139, 'Singleplayer': 138, 'Modern': 116, 'Difficult': 111, 'Third Person': 107}"
Janes,BloodRealm: Battlegrounds,0.02,"Free to Play, Indie, RPG","{'Free to Play': 47, 'RPG': 30, 'Indie': 29, 'Card Game': 24}"
Janes,Fallout Shelter,0.02,"RPG, Simulation, Free to Play","{'Free to Play': 2597, 'Base-Building': 1811, 'Survival': 1674, 'Post-apocalyptic': 1390, 'Singleplayer': 1132, 'Management': 991, 'Simulation': 989, 'Strategy': 916, '2D': 834, 'Building': 796, 'Casual': 559, 'Crafting': 546, 'Adventure': 490, 'Sandbox': 469, 'Multiplayer': 454, 'RPG': 425, 'Funny': 333, 'Atmospheric': 321, 'Action': 304, 'Great Soundtrack': 220}"
Janes,SEGA Mega Drive & Genesis Classics,0.02,"Action, Adventure, Casual, RPG","{'Classic': 190, 'Action': 172, 'Adventure': 168, 'RPG': 167, 'Retro': 163, 'Casual': 157, ""1990's"": 85, '2D': 69, 'Arcade': 64, 'Pixel Graphics': 56, 'Platformer': 53, 'Old School': 50, 'Singleplayer': 40, 'Multiplayer': 38, ""Beat 'em up"": 38, 'Great Soundtrack': 36, 'Co-op': 30, 'Local Multiplayer': 29, 'Moddable': 28, 'VR': 17}"
lukilol,Counter-Strike 2,6831.2,Action,"{'Action': 5473, 'FPS': 4898, 'Multiplayer': 3445, 'Shooter': 3395, 'Classic': 2822, 'Team-Based': 1896, 'First-Person': 1737, 'Competitive': 1632, 'Tactical': 1370, ""1990's"": 1231, 'e-sports': 1215, 'PvP': 907, 'Old School': 807, 'Military': 647, 'Strategy': 628, 'Survival': 312, 'Score Attack': 296, '1980s': 276, 'Assassin': 237, 'Nostalgia': 180}"
lukilol,Call of Duty: Modern Warfare 2 (2009) - Multiplayer,320.7,Action,"{'Action': 1815, 'FPS': 1506, 'Multiplayer': 1275, 'Shooter': 1007, 'First-Person': 833, 'Singleplayer': 756, 'War': 687, 'Military': 631, 'Co-op': 528, 'Online Co-Op': 499, 'PvP': 438, 'Great Soundtrack': 341, 'Story Rich': 314, 'Atmospheric': 241, 'Tactical': 229, 'Adventure': 229, 'Controller': 213, 'Linear': 187, 'Strategy': 164, 'Moddable': 154}"
lukilol,Grand Theft Auto V,83.7,"Action, Adventure","{'Open World': 32016, 'Action': 23189, 'Multiplayer': 21351, 'Crime': 19076, 'Automobile Sim': 18585, 'Third Person': 18421, 'First-Person': 18062, 'Mature': 14770, 'Shooter': 14686, 'Adventure': 13436, 'Singleplayer': 12263, 'Third-Person Shooter': 11808, 'Racing': 11408, 'Co-op': 10089, 'Sandbox': 9851, 'Atmospheric': 9817, 'Funny': 9239, 'Great Soundtrack': 8598, 'Comedy': 8463, 'Moddable': 6805}"
lukilol,Mount & Blade II: Bannerlord,61.2,"Action, Indie, RPG, Simulation, Strategy","{'Medieval': 2336, 'Strategy': 2062, 'Open World': 1986, 'RPG': 1848, 'War': 1802, 'Sandbox': 1534, 'Multiplayer': 1497, 'Singleplayer': 1232, 'Action': 1145, 'Character Customization': 1063, 'Simulation': 1030, 'Moddable': 970, 'Adventure': 934, 'Horses': 861, 'Realistic': 806, 'Third Person': 784, 'First-Person': 758, 'Historical': 749, 'Great Soundtrack': 502, 'Early Access': 395}"
lukilol,Call of Duty: Black Ops II - Multiplayer,51.5,"Action, Adventure","{'Multiplayer': 196, 'Action': 116, 'FPS': 112, 'Zombies': 110, 'First-Person': 98, 'Shooter': 96, 'Adventure': 68, 'Free to Play': 67, 'Co-op': 44, 'Online Co-Op': 44, 'Singleplayer': 40, 'Massively Multiplayer': 39, 'Futuristic': 36, 'Casual': 25, 'Sci-fi': 22, 'Mod': 10}"
